"date","fisYr","ticker","compName","totalRev","country","cmnShrTraded","totalMktVal","industry","bidLow","askHigh","holdingPeriodReturn","avgPrc","avgShOut","avgShVol","ceoName","ceoStart","ceoEnd","ceoComp1","ceoComp2","ceoSalPctChg","ceoShares","ceoGender","ceoChg"
2014-06-30,2014,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",844.532,"USA",16454522,930.6836,"4522",35.655,38.8,"0.007106",36.1433333333333,25240,55910.6666666667,"William J. Flynn","06/22/2006","12/31/2019",5911.937,5911.937,0,175.284,"MALE",FALSE
2014-09-30,2014,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",1310.333,"USA",15361398,819.0281,"4522",33.02,36.51,"-0.012855",33.5633333333333,25106.6666666667,51215.3333333333,"William J. Flynn","06/22/2006","12/31/2019",5911.937,5911.937,0,175.284,"MALE",FALSE
2014-12-31,2014,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",1799.198,"USA",16338139,1223.0344,"4522",44.49,49.3,"0.079956",43.9566666666667,24806,54525.6666666667,"William J. Flynn","06/22/2006","12/31/2019",5911.937,5911.937,0,175.284,"MALE",FALSE
2015-03-31,2015,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",444.845,"USA",13968136,1075.6291,"4522",43.02,47.3,"-0.051378",44.5233333333333,24873,46571,"William J. Flynn","06/22/2006","12/31/2019",6207.884,7133.369,0,200.706,"MALE",FALSE
2015-06-30,2015,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",900.678,"USA",31863081,1376.803,"4522",53.35,57.78,"0.008811",52.7266666666667,25019.6666666667,106217.333333333,"William J. Flynn","06/22/2006","12/31/2019",6207.884,7133.369,0,200.706,"MALE",FALSE
2015-09-30,2015,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",1350.582,"USA",31630990,851.2474,"4522",34.22,40.02,"-0.163399",41.6733333333333,24912.3333333333,105495.666666667,"William J. Flynn","06/22/2006","12/31/2019",6207.884,7133.369,0,200.706,"MALE",FALSE
2015-12-31,2015,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",1822.659,"USA",16218359,1018.4936,"4522",38.37,43.77,"0.000484",41.3,24633,54069,"William J. Flynn","06/22/2006","12/31/2019",6207.884,7133.369,0,200.706,"MALE",FALSE
2016-03-31,2016,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",418.615,"USA",18612898,1048.8032,"4522",36.61,42.96,"0.167357",38.4033333333333,24695.3333333333,62037,"William J. Flynn","06/22/2006","12/31/2019",13487.786,13487.786,0,246.958,"MALE",FALSE
2016-06-30,2016,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",861.887,"USA",23080957,1028.3758,"4522",38.45,46.82,"-0.055201",41.7333333333333,24817.3333333333,76910.6666666667,"William J. Flynn","06/22/2006","12/31/2019",13487.786,13487.786,0,246.958,"MALE",FALSE
2016-09-30,2016,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",1309.902,"USA",17131983,1070.8854,"4522",37.54,42.82,"0.152935",41.0633333333333,24889.3333333333,57118.6666666667,"William J. Flynn","06/22/2006","12/31/2019",13487.786,13487.786,0,246.958,"MALE",FALSE
